,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,True Label,Buy and Hold,Parameter 1,Parameter 2,Week_Type_value,Week_Type,True Labels Strategy,Logistic_Regression_pred,KNN prediction p_1.5,Linear_Model_pred
31,2015-02-18,2015,2,18,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,7,2015-07,12.41,12.41,12.41,12.41,0.0,6.77,0.001614245474766962,6.6450000000000005,6.601875,+,89,89.0,0,1.77,green,109,0,0,18.117
32,2015-02-19,2015,2,19,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,7,2015-07,12.41,12.41,12.41,12.41,0.0,6.77,0.0,6.661428571428572,6.606969696969697,+,89,89.0,0,1.77,green,109,0,0,18.117
33,2015-02-20,2015,2,20,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,7,2015-07,12.48,12.48,12.48,12.48,0.0,6.81,0.005640647983783387,6.682142857142857,6.6129411764705885,+,89,89.0,0,1.77,green,109,0,0,18.117
34,2015-02-23,2015,2,23,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,8,2015-08,12.47,12.47,12.47,12.47,0.0,6.8,-0.0008013370881699844,6.699285714285715,6.618285714285713,-,88,88.0,0,1.79,green,109,0,0,17.885
35,2015-02-24,2015,2,24,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,8,2015-08,12.5,12.5,12.5,12.5,0.0,6.82,0.0024057290153538524,6.713571428571428,6.623888888888889,+,88,88.0,0,1.79,green,109,0,0,17.885
36,2015-02-25,2015,2,25,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,8,2015-08,12.5,12.5,12.5,12.5,0.0,6.82,0.0,6.73,6.629189189189188,+,88,88.0,0,1.79,green,109,0,0,17.885
37,2015-02-26,2015,2,26,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,8,2015-08,12.5,12.5,12.5,12.5,0.0,6.82,0.0,6.742142857142857,6.6342105263157904,+,88,88.0,0,1.79,green,109,0,0,17.885
38,2015-02-27,2015,2,27,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,8,2015-08,12.44,12.44,12.44,12.44,0.0,6.79,-0.0048000505548096975,6.755000000000001,6.638205128205128,-,88,88.0,0,1.79,green,109,0,0,17.885
39,2015-03-02,2015,3,2,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,9,2015-09,12.54,12.54,12.54,12.54,0.0,6.84,0.008038646867931877,6.772857142857142,6.64325,+,88,88.0,0,2.09,green,109,0,0,17.84
40,2015-03-03,2015,3,3,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,9,2015-09,12.46,12.46,12.46,12.46,0.0,6.8,-0.006379605997975157,6.782857142857143,6.647073170731707,-,87,88.0,0,2.09,green,109,0,0,17.84
41,2015-03-04,2015,3,4,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,9,2015-09,12.41,12.41,12.41,12.41,0.0,6.77,-0.0040127665163878215,6.79,6.65,-,86,88.0,0,2.09,green,109,0,0,17.84
42,2015-03-05,2015,3,5,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,9,2015-09,12.43,12.43,12.43,12.43,0.0,6.78,0.0016115030633485627,6.793571428571428,6.653023255813952,+,86,88.0,0,2.09,green,109,0,0,17.84
43,2015-03-06,2015,3,6,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,9,2015-09,12.27,12.27,12.27,12.27,0.0,6.7,-0.012872055673765592,6.789285714285714,6.6540909090909075,-,85,88.0,0,2.09,green,109,0,0,17.84
44,2015-03-09,2015,3,9,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,10,2015-10,12.31,12.31,12.31,12.31,0.0,6.72,0.0032601367506979173,6.786428571428572,6.655555555555557,+,86,86.0,0,1.6,green,110,0,0,17.423
45,2015-03-10,2015,3,10,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,10,2015-10,12.11,12.11,12.11,12.11,0.0,6.61,-0.01624721710117416,6.775,6.654565217391305,-,85,86.0,0,1.6,green,110,0,0,17.423
46,2015-03-11,2015,3,11,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,10,2015-10,12.06,12.06,12.06,12.06,0.0,6.58,-0.004128526424098777,6.761428571428572,6.652978723404256,-,83,86.0,0,1.6,green,111,0,0,17.423
47,2015-03-12,2015,3,12,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,10,2015-10,12.17,12.17,12.17,12.17,0.0,6.64,0.00912089019610085,6.749285714285714,6.652708333333332,+,83,86.0,0,1.6,green,111,0,0,17.423
48,2015-03-13,2015,3,13,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,10,2015-10,12.11,12.11,12.11,12.11,0.0,6.61,-0.00493027983917127,6.735714285714287,6.651836734693878,-,82,86.0,0,1.6,green,112,0,0,17.423
49,2015-03-16,2015,3,16,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,11,2015-11,12.23,12.23,12.23,12.23,0.0,6.67,0.009909199404860793,6.7250000000000005,6.6522000000000014,+,82,82.0,0,1.54,green,112,0,0,16.632
50,2015-03-17,2015,3,17,<bound method PandasDelegate._add_delegate_accessors.<locals>._create_delegator_method.<locals>.f of <pandas.core.indexes.accessors.DatetimeProperties object at 0x0000023EB13CF5E0>>,11,2015-11,12.19,12.19,12.19,12.19,0.0,6.65,-0.0032704425343007553,6.712857142857144,6.6526,-,81,82.0,0,1.54,green,113,0,0,16.632
